Nome,Tipo,Slot,Prezzo,Peso,Fonte,Unnamed: 6
09-11,Bastone Sacro,Bastone maggiore inferiore,Nessuno,29.600 mo,"2,5 kg",Guida all'Equipaggiamento
12-14,Bastone Legale,Bastone maggiore inferiore,Nessuno,29.600 mo,"2,5 kg",Guida all'Equipaggiamento
15-17,Bastone della Guarigione,Bastone maggiore inferiore,Nessuno,29.600 mo,"2,5 kg",Manuale di Gioco
18-21,Bastone Sacrilego,Bastone maggiore inferiore,Nessuno,29.600 mo,"2,5 kg",Guida all'Equipaggiamento
22-24,Bastone del Maestro,Bastone maggiore inferiore,Nessuno,30.000 mo,"2,5 kg",Guida all'Equipaggiamento
25-28,Bastone dei Ragni,Bastone maggiore inferiore,Nessuno,30.200 mo,"2,5 kg",Guida all'Equipaggiamento
29-32,Bastone dell'ElettricitÃ,Bastone maggiore inferiore,Nessuno,31.900 mo,"2,5 kg",Guida all'Equipaggiamento
33-36,Anatema dell'Eretico,Bastone maggiore inferiore,Nessuno,32.000 mo,"2,5 kg",Guida all'Equipaggiamento
37-39,Bastone Musicale,Bastone maggiore inferiore,Nessuno,32.000 mo,"2,5 kg",Guida all'Equipaggiamento
40-42,Bastone delle Anime,Bastone maggiore inferiore,Nessuno,32.800 mo,"2,5 kg",Guida del Giocatore
43-46,Bastone delle Tossine,Bastone maggiore inferiore,Nessuno,34.200 mo,"2,5 kg",Guida del Giocatore
47-50,Bastone delle Grida,Bastone maggiore inferiore,Nessuno,28.800 mo,"2,5 kg",Guida del Giocatore
51-54,Bastone del Vendicatore,Bastone maggiore inferiore,Nessuno,37.310 mo,"2,5 kg",Guida all'Equipaggiamento
55-58,Bastone degli Aspetti,Bastone maggiore inferiore,Nessuno,37.600 mo,"2,5 kg",Guida all'Equipaggiamento
59-62,Bastone della FurtivitÃ,Bastone maggiore inferiore,Nessuno,39.300 mo,"2,5 kg",Guida del Giocatore
67-70,Bastone del Gelo,Bastone maggiore inferiore,Nessuno,41.400 mo,"2,5 kg",Manuale di Gioco
71-74,Bastone del Sostegno,Bastone maggiore inferiore,Nessuno,41.600 mo,"2,5 kg",Guida del Giocatore
75-78,Bastone delle Maledizioni,Bastone maggiore inferiore,Nessuno,43.500 mo,"2,5 kg",Guida all'Equipaggiamento
79-85,Bastone della Fiamma Oscura,Bastone maggiore inferiore,Nessuno,47.000 mo,2 kg,Guida all'Equipaggiamento
90-93,Bastone dell'Esibizione,Bastone maggiore inferiore,Nessuno,48.800 mo,"2,5 kg",Guida del Giocatore
94-97,Bastone dell'Animazione,Bastone maggiore inferiore,Nessuno,49.800 mo,"2,5 kg",Guida all'Equipaggiamento
98-100,Bastone delle Rivelazioni,Bastone maggiore inferiore,Nessuno,51.008 mo,"2,5 kg",Guida del Giocatore
01-04,Bastone d'Illuminazione,Bastone maggiore superiore,Nessuno,51.500 mo,"2,5 kg",Manuale di Gioco
05-07,Bastone degli Ostacoli,Bastone maggiore superiore,Nessuno,52.850 mo,"2,5 kg",Guida del Giocatore
08-10,Bastone del Cielo e della Terra,Bastone maggiore superiore,Nessuno,54.000 mo,"2,5 kg",Guida all'Equipaggiamento
11-13,Bastone del Viaggio,Bastone maggiore superiore,Nessuno,54.400 mo,"1,5 kg",Guida all'Equipaggiamento
14-15,Bastone dell'Accumulo,Bastone maggiore superiore,Nessuno,55.866 mo,"2,5 kg",Guida del Giocatore
16-17,Bastone della Furia Ridacchiante,Bastone maggiore superiore,Nessuno,56.700 mo,"2,5 kg",Guida del Giocatore
18-19,Bastone delle Trappole,Bastone maggiore superiore,Nessuno,56.925 mo,"2,5 kg",Guida del Giocatore
20-21,Bastone dei Molti Raggi,Bastone maggiore superiore,Nessuno,57.200 mo,"2,5 kg",Guida del Giocatore
22-23,Bastone dell'Oratoria,Bastone maggiore superiore,Nessuno,57.200 mo,"2,5 kg",Guida all'Equipaggiamento
23-25,Bastone della Potenza del Mithral,Bastone maggiore superiore,Nessuno,58.000 mo,"3,5 kg",Guida all'Equipaggiamento
26-29,Bastone della Difesa,Bastone maggiore superiore,Nessuno,62.000 mo,"2,5 kg",Manuale di Gioco
30-32,Bastone dei Piani,Bastone maggiore superiore,Nessuno,63.960 mo,"2,5 kg",Guida all'Equipaggiamento
33-35,Bastone delle Ombre Fameliche,Bastone maggiore superiore,Nessuno,69.300 mo,"2,5 kg",Guida all'Equipaggiamento
36-38,Bastone Draconico,Bastone maggiore superiore,Nessuno,81.000 mo,"2,5 kg",Guida all'Equipaggiamento
39-41,Bastone della Sonnolenza,Bastone maggiore superiore,Nessuno,81.766 mo,"2,5 kg",Guida del Giocatore
42-46,Bastone dell'Abiurazione,Bastone maggiore superiore,Nessuno,82.000 mo,"2,5 kg",Manuale di Gioco
47-51,Bastone dell'Evocazione,Bastone maggiore superiore,Nessuno,82.000 mo,"2,5 kg",Manuale di Gioco
52-56,Bastone della Divinazione,Bastone maggiore superiore,Nessuno,82.000 mo,"2,5 kg",Manuale di Gioco
57-61,Bastone dell'Ammaliamento,Bastone maggiore superiore,Nessuno,82.000 mo,"2,5 kg",Manuale di Gioco
62-66,Bastone dell'Invocazione,Bastone maggiore superiore,Nessuno,82.000 mo,"2,5 kg",Manuale di Gioco
67-71,Bastone dell'Illusione,Bastone maggiore superiore,Nessuno,82.000 mo,"2,5 kg",Manuale di Gioco
72-76,Bastone della Necromanzia,Bastone maggiore superiore,Nessuno,82.000 mo,"2,5 kg",Manuale di Gioco
77-81,Bastone della Trasmutazione,Bastone maggiore superiore,Nessuno,82.000 mo,"2,5 kg",Manuale di Gioco
82-83,Bastone del Tempo Atmosferico,Bastone maggiore superiore,Nessuno,84.066 mo,"2,5 kg",Guida del Giocatore
84-86,Bastone della Terra e Pietra,Bastone maggiore superiore,Nessuno,85.800 mo,"2,5 kg",Manuale di Gioco
87-88,Bastone della Visione,Bastone maggiore superiore,Nessuno,86.666 mo,"2,5 kg",Guida del Giocatore
89-91,Bastone dei Boschi,Bastone maggiore superiore,Nessuno,100.400 mo,"2,5 kg",Manuale di Gioco
92-94,Bastone della Vita,Bastone maggiore superiore,Nessuno,109.400 mo,"2,5 kg",Manuale di Gioco
95,Bastone delle Cento Mani,Bastone maggiore superiore,Nessuno,180.200 mo,"2,5 kg",Guida all'Equipaggiamento
-,Bastone Vril,Bastone maggiore superiore,Nessuno,200.000 mo,"2,5 kg",Avventure Occulte
96-98,Bastone del Passaggio,Bastone maggiore superiore,Nessuno,206.900 mo,"2,5 kg",Manuale di Gioco
99,Bastone del Gerofante,Bastone maggiore superiore,Nessuno,220.000 mo,"2,5 kg",Guida all'Equipaggiamento
100,Bastone del Potere,Bastone maggiore superiore,Nessuno,235.000 mo,"2,5 kg",Manuale di Gioco
01,Verga Metamagica Pietosa Minore,Verga media inferiore,Nessuno,1.500 mo,5 kg,Guida del Giocatore
02-34,Metamagica (liv. incantesimo +1) Minore,Verga media inferiore,Nessuno,3.000 mo,"2,5 kg",-
-,Verga della Rifocalizzazione,Verga media inferiore,Nessuno,5.000 mo,"0,5 kg",Avventure Occulte
35-49,Verga Inamovibile,Verga media inferiore,Nessuno,5.000 mo,"2,5 kg",Manuale di Gioco
50-59,Verga della Forza Tonante,Verga media inferiore,Nessuno,5.400 mo,"2,5 kg",Guida all'Equipaggiamento
60,Verga Metamagica Pietosa Normale,Verga media inferiore,Nessuno,5.500 mo,5 kg,Guida del Giocatore
61,Verga del Ghiaccio,Verga media inferiore,Nessuno,8.500 mo,"1,5 kg",Guida all'Equipaggiamento
62-71,Metamagica (liv. incantesimo +2) Minore,Verga media inferiore,Nessuno,9.000 mo,"2,5 kg",-
72-81,Verga dell'Individuazione dei Metalli e dei Minerali,Verga media inferiore,Nessuno,10.500 mo,"2,5 kg",Manuale di Gioco
82-86,Metamagica (liv. incantesimo +1) Normale,Verga media inferiore,Nessuno,11.000 mo,"2,5 kg",-
87-100,Verga della Cancellazione,Verga media inferiore,Nessuno,11.000 mo,"2,5 kg",Manuale di Gioco
-,Verga delle Fatture Afferranti,Verga media inferiore,Nessuno,11.000 mo,"2,5 kg",Guida alle Classi
-,Verga delle Fatture Interminabili,Verga media inferiore,Nessuno,11.000 mo,"2,5 kg",Guida alle Classi
01-03,Verga Conduttiva,Verga media superiore,Nessuno,12.000 mo,"2,5 kg",Guida all'Equipaggiamento
04-06,Verga Isolante,Verga media superiore,Nessuno,12.000 mo,5 kg,Guida all'Equipaggiamento
07-10,Verga del Wayang,Verga media superiore,Nessuno,12.000 mo,"2,5 kg",Guida all'Equipaggiamento
11-18,Verga delle Meraviglie,Verga media superiore,Nessuno,12.000 mo,"2,5 kg",Manuale di Gioco
19,Verga Metamagica Pietosa Superiore,Verga media superiore,Nessuno,12.250 mo,5 kg,Guida del Giocatore
20-29,Verga del Pitone,Verga media superiore,Nessuno,13.000 mo,5 kg,Manuale di Gioco
30-33,Verga del Ruba Trappole,Verga media superiore,Nessuno,13.500 mo,"2,5 kg",Guida all'Equipaggiamento
34-55,Metamagica (liv. incantesimo +3) Minore,Verga media superiore,Nessuno,14.000 mo,"2,5 kg",-
56-59,Verga dell'Equilibrio,Verga media superiore,Nessuno,15.000 mo,"2,5 kg",Guida all'Equipaggiamento
60-63,Verga della Fuga,Verga media superiore,Nessuno,15.000 mo,"2,5 kg",Guida all'Equipaggiamento
64-72,Verga dell'Estinzione delle Fiamme,Verga media superiore,Nessuno,15.000 mo,"2,5 kg",Manuale di Gioco
73-76,Verga della Rovina,Verga media superiore,Nessuno,16.000 mo,"2,5 kg",Guida all'Equipaggiamento
77-80,Verga Arborea,Verga media superiore,Nessuno,16.650 mo,"2,5 kg",Guida all'Equipaggiamento
81-86,Verga della Seduzione,Verga media superiore,Nessuno,18.000 mo,"2,5 kg",Guida all'Equipaggiamento
87-90,Verga delle Ortiche,Verga media superiore,Nessuno,18.000 mo,"2,5 kg",Guida all'Equipaggiamento
91-100,Verga della Vipera,Verga media superiore,Nessuno,19.000 mo,"2,5 kg",Manuale di Gioco
01-04,Scettro del Sovrano,Verga maggiore inferiore,Nessuno,20.000 mo,"2,5 kg",Guida all'Equipaggiamento
05-06,Verga del Nimbo Ardente,Verga maggiore inferiore,Nessuno,22.305 mo,"1,5 kg",Guida all'Equipaggiamento
07-13,Verga dell'Individuazione dei Nemici,Verga maggiore inferiore,Nessuno,23.500 mo,"2,5 kg",Manuale di Gioco
14-27,Metamagica (liv. incantesimo +1) Superiore,Verga maggiore inferiore,Nessuno,24.500 mo,"2,5 kg",-
28-36,Verga dello Splendore,Verga maggiore inferiore,Nessuno,25.000 mo,"2,5 kg",Manuale di Gioco
37-44,Verga del Deperimento,Verga maggiore inferiore,Nessuno,25.000 mo,"2,5 kg",Manuale di Gioco
-,Verga del Sovraflusso,Verga maggiore inferiore,Nessuno,25.000 mo,"0,5 kg",Avventure Occulte
45-50,Verga del Legame con la Terra,Verga maggiore inferiore,Nessuno,26.500 mo,"2,5 kg",Guida alle Razze
51-56,Verga dell'Aboleth,Verga maggiore inferiore,Nessuno,29.000 mo,"2,5 kg",Guida all'Equipaggiamento
57-63,Verga del Liberatore,Verga maggiore inferiore,Nessuno,30.000 mo,"2,5 kg",Guida all'Equipaggiamento
-,Verga della Rabdomanzia,Verga maggiore inferiore,Nessuno,31.000 mo,"0,5 kg",Avventure Occulte
64-70,Metamagica (liv. incantesimo +2) Normale,Verga maggiore inferiore,Nessuno,32.500 mo,"2,5 kg",-
-,Verga delle Fatture Voraci,Verga maggiore inferiore,Nessuno,32.500 mo,"2,5 kg",Guida alle Classi
71-79,Verga dei Tuoni e Fulmini,Verga maggiore inferiore,Nessuno,33.000 mo,"2,5 kg",Manuale di Gioco
80-83,Metamagica di RapiditÃ Minore,Verga maggiore inferiore,Nessuno,35.000 mo,"2,5 kg",Manuale di Gioco
84-94,Verga della Negazione,Verga maggiore inferiore,Nessuno,37.000 mo,"2,5 kg",Manuale di Gioco
95-100,Verga della Salda Risolutezza,Verga maggiore inferiore,Nessuno,38.305 mo,"2,5 kg",Guida alle Razze
01-08,Verga dell'Assorbimento,Verga maggiore superiore,Nessuno,50.000 mo,"2,5 kg",Manuale di Gioco
09-11,Verga Mazzafrusto,Verga maggiore superiore,Nessuno,50.000 mo,"2,5 kg",Manuale di Gioco
12-26,Metamagica (liv. incantesimo +3) Normale,Verga maggiore superiore,Nessuno,54.000 mo,"2,5 kg",-
-,Verga delle Fatture Potenti,Verga maggiore superiore,Nessuno,54.000 mo,"2,5 kg",Guida alle Classi
27-28,Verga della SovranitÃ,Verga maggiore superiore,Nessuno,60.000 mo,4 kg,Manuale di Gioco
29-30,Verga della Sicurezza,Verga maggiore superiore,Nessuno,61.000 mo,"2,5 kg",Manuale di Gioco
31-32,Verga delle Ombre,Verga maggiore superiore,Nessuno,64.305 mo,"2,5 kg",Guida alle Razze
33-34,Verga della Padronanza Mentale,Verga maggiore superiore,Nessuno,67.000 mo,"2,5 kg",Guida all'Equipaggiamento
35-37,Verga della Potenza,Verga maggiore superiore,Nessuno,70.000 mo,5 kg,Manuale di Gioco
38-57,Metamagica (liv. incantesimo +2) Superiore,Verga maggiore superiore,Nessuno,73.000 mo,"2,5 kg",-
58,Scettro del Paradiso,Verga maggiore superiore,Nessuno,74.000 mo,"1,5 kg",Guida all'Equipaggiamento
59-68,Metamagica di RapiditÃ Normale,Verga maggiore superiore,Nessuno,75.500 mo,"2,5 kg",Manuale di Gioco
-,Verga delle Fatture Improvvise,Verga maggiore superiore,Nessuno,75.500 mo,"2,5 kg",Guida alle Classi
69-70,Verga della Potenza Nanica,Verga maggiore superiore,Nessuno,80.000 mo,5 kg,Guida alle Razze
71-75,Verga dell'Allerta,Verga maggiore superiore,Nessuno,85.000 mo,2 kg,Manuale di Gioco
-,Verga Dolorosa,Verga maggiore superiore,Nessuno,120.000 mo,"2,5 kg",Avventure Mitiche
-,Verga Cava,Verga maggiore superiore,Nessuno,121.500 mo,"2,5 kg",Avventure Occulte
76-95,Metamagica (liv. incantesimo +3) Superiore,Verga maggiore superiore,Nessuno,121.500 mo,"2,5 kg",-
-,Verga Caducea,Verga maggiore superiore,Nessuno,142.000 mo,"1,5 kg",Avventure Occulte
96-100,Metamagica di RapiditÃ Superiore,Verga maggiore superiore,Nessuno,170.000 mo,"2,5 kg",Manuale di Gioco
01-16,Cintura Acrobatica,Oggetto Minore Inferiore Slot Cintura,Cintura,800 mo,"0,5 kg",Guida all'Equipaggiamento
17-28,Bandoliera Vantaggiosa,Oggetto Minore Inferiore Slot Cintura,Cintura,1.000 mo,1 kg,Guida all'Equipaggiamento
29-40,Cintura Meridiana,Oggetto Minore Inferiore Slot Cintura,Cintura,1.000 mo,"0,5 kg",Guida alle Razze
-,Cintura delle Manovre Superiori +1,Oggetto Minore Inferiore Slot Cintura,Cintura,1.000 mo,"0,5 kg",Guida alle Classi
41-54,Cintura a Lama,Oggetto Minore Inferiore Slot Cintura,Cintura,2.000 mo,"1,5 kg",Guida all'Equipaggiamento
55-70,Cintura del Carico Pesante,Oggetto Minore Inferiore Slot Cintura,Cintura,2.000 mo,"1,5 kg",Guida all'Equipaggiamento
71-84,Fusciacca Acquatica,Oggetto Minore Inferiore Slot Cintura,Cintura,2.600 mo,-,Guida all'Equipaggiamento
85-100,Cintura Equestre,Oggetto Minore Inferiore Slot Cintura,Cintura,3.200 mo,"0,5 kg",Guida all'Equipaggiamento
01-18,Cintura della Forza del Gigante +2,Oggetto Minore Superiore Slot Cintura,Cintura,4.000 mo,"0,5 kg",Manuale di Gioco
19-36,Cintura dell'AgilitÃ +2,Oggetto Minore Superiore Slot Cintura,Cintura,4.000 mo,"0,5 kg",Manuale di Gioco
37-54,Cintura del Vigore +2,Oggetto Minore Superiore Slot Cintura,Cintura,4.000 mo,"0,5 kg",Manuale di Gioco
55-62,Cintura dei Denti,Oggetto Minore Superiore Slot Cintura,Cintura,4.000 mo,"1,5 kg",Guida all'Equipaggiamento
63-74,Cintura del Ripristino,Oggetto Minore Superiore Slot Cintura,Cintura,5.000 mo,1 kg,Guida all'Equipaggiamento
75-84,Cintura Piaga del Ratto,Oggetto Minore Superiore Slot Cintura,Cintura,5.200 mo,"0,5 kg",Guida all'Equipaggiamento
85-100,Cintura del Foraggiamento,Oggetto Minore Superiore Slot Cintura,Cintura,6.000 mo,"0,5 kg",Guida alle Razze
-,Cintura delle Manovre Superiori +2,Oggetto Medio Inferiore Slot Cintura,Cintura,8.000 mo,"0,5 kg",Guida alle Classi
01-04,Cintura del Serpente,Oggetto Medio Inferiore Slot Cintura,Cintura,9.000 mo,"0,5 kg",Guida all'Equipaggiamento
05-08,Cintura della Scimmia,Oggetto Medio Inferiore Slot Cintura,Cintura,9.400 mo,"0,5 kg",Guida all'Equipaggiamento
09-16,Cintura della Potenza Fisica +2,Oggetto Medio Inferiore Slot Cintura,Cintura,10.000 mo,"0,5 kg",Manuale di Gioco
17-22,Cintura della Donnola,Oggetto Medio Inferiore Slot Cintura,Cintura,10.000 mo,"0,5 kg",Guida all'Equipaggiamento
23-27,Cintura della Carica Tonante,Oggetto Medio Inferiore Slot Cintura,Cintura,10.000 mo,"0,5 kg",Guida all'Equipaggiamento
28-32,Cintura del Minotauro,Oggetto Medio Inferiore Slot Cintura,Cintura,11.000 mo,"0,5 kg",Guida all'Equipaggiamento
33-36,Cintura Piaga del Ratto Superiore,Oggetto Medio Inferiore Slot Cintura,Cintura,11.200 mo,"0,5 kg",Guida all'Equipaggiamento
37-41,Cintura dell'Equilibrio,Oggetto Medio Inferiore Slot Cintura,Cintura,12.000 mo,"0,5 kg",Guida all'Equipaggiamento
42-46,Cintura della Sicurezza,Oggetto Medio Inferiore Slot Cintura,Cintura,12.500 mo,"0,5 kg",Guida all'Equipaggiamento
47-51,Cintura del Lancio Potente Minore,Oggetto Medio Inferiore Slot Cintura,Cintura,14.000 mo,"0,5 kg",Guida all'Equipaggiamento
52-57,Cintura Nanica,Oggetto Medio Inferiore Slot Cintura,Cintura,14.900 mo,"0,5 kg",Manuale di Gioco
58-61,Cordone della Determinazione Ostinata,Oggetto Medio Inferiore Slot Cintura,Cintura,15.000 mo,"0,5 kg",Guida all'Equipaggiamento
62-71,Cintura della Forza del Gigante +4,Oggetto Medio Inferiore Slot Cintura,Cintura,16.000 mo,"0,5 kg",Manuale di Gioco
72-80,Cintura della Perfezione Fisica +2,Oggetto Medio Inferiore Slot Cintura,Cintura,16.000 mo,"0,5 kg",Manuale di Gioco
81-90,Cintura dell'AgilitÃ +4,Oggetto Medio Inferiore Slot Cintura,Cintura,16.000 mo,"0,5 kg",Manuale di Gioco
91-100,Cintura del Vigore +4,Oggetto Medio Inferiore Slot Cintura,Cintura,16.000 mo,"0,5 kg",Manuale di Gioco
01-12,Cintura della Scimmia Superiore,Oggetto Medio Superiore Slot Cintura,Cintura,18.000 mo,"0,5 kg",Guida all'Equipaggiamento
-,Cintura delle Manovre Superiori +3,Oggetto Medio Superiore Slot Cintura,Cintura,18.000 mo,"0,5 kg",Guida alle Classi
13-26,Spire dell'Anaconda,Oggetto Medio Superiore Slot Cintura,Cintura,18.500 mo,"0,5 kg",Guida all'Equipaggiamento
27-38,Cintura del Serpente Superiore,Oggetto Medio Superiore Slot Cintura,Cintura,20.000 mo,"0,5 kg",Guida all'Equipaggiamento
39-53,Cintura degli Eroi Caduti,Oggetto Medio Superiore Slot Cintura,Cintura,21.000 mo,"0,5 kg",Guida all'Equipaggiamento
54-67,Cintura della Gorgone,Oggetto Medio Superiore Slot Cintura,Cintura,23.000 mo,"0,5 kg",Guida all'Equipaggiamento
68-84,Cintura Elementale della Terra,Oggetto Medio Superiore Slot Cintura,Cintura,24.000 mo,"1,5 kg",Guida all'Equipaggiamento
85-100,Fusciacca dell'Acqua Corrente,Oggetto Medio Superiore Slot Cintura,Cintura,25.000 mo,"1,5 kg",Guida all'Equipaggiamento
01-12,Cintura della Forma di Marinide,Oggetto Maggiore Inferiore Slot Cintura,Cintura,32.000 mo,1 kg,Guida all'Equipaggiamento
-,Cintura delle Manovre Superiori +4,Oggetto Maggiore Inferiore Slot Cintura,Cintura,32.000 mo,"0,5 kg",Guida alle Classi
13-30,Cintura della Forza del Gigante +6,Oggetto Maggiore Inferiore Slot Cintura,Cintura,36.000 mo,"0,5 kg",Manuale di Gioco
31-48,Cintura dell'AgilitÃ +6,Oggetto Maggiore Inferiore Slot Cintura,Cintura,36.000 mo,"0,5 kg",Manuale di Gioco
49-66,Cintura del Vigore +6,Oggetto Maggiore Inferiore Slot Cintura,Cintura,36.000 mo,"0,5 kg",Manuale di Gioco
-,Cintura Riflettente,Oggetto Maggiore Inferiore Slot Cintura,Cintura,36.000 mo,1 kg,Avventure Mitiche
67-88,Cintura della Potenza Fisica +4,Oggetto Maggiore Inferiore Slot Cintura,Cintura,40.000 mo,"0,5 kg",Manuale di Gioco
89-100,Cintura del Lancio Potente Superiore,Oggetto Maggiore Inferiore Slot Cintura,Cintura,42.000 mo,"0,5 kg",Guida all'Equipaggiamento
-,Cintura delle Manovre Superiori +5,Oggetto Maggiore Superiore Slot Cintura,Cintura,50.000 mo,"0,5 kg",Guida alle Classi
01-25,Cintura della Pelle di Pietra,Oggetto Maggiore Superiore Slot Cintura,Cintura,60.000 mo,5 kg,Guida alle Razze
-,Cintura della StabilitÃ,Oggetto Maggiore Superiore Slot Cintura,Cintura,60.000 mo,5 kg,Avventure Mitiche
26-55,Cintura della Perfezione Fisica +4,Oggetto Maggiore Superiore Slot Cintura,Cintura,64.000 mo,"0,5 kg",Manuale di Gioco
56-75,Cintura della Potenza Fisica +6,Oggetto Maggiore Superiore Slot Cintura,Cintura,90.000 mo,"0,5 kg",Manuale di Gioco
76-90,Cintura della Forma d'Ombra,Oggetto Maggiore Superiore Slot Cintura,Cintura,110.000 mo,"0,5 kg",Guida all'Equipaggiamento
91-100,Cintura della Perfezione Fisica +6,Oggetto Maggiore Superiore Slot Cintura,Cintura,144.000 mo,"0,5 kg",Manuale di Gioco
-,Talismano Minore dei Venti Benefici,Oggetto Minore Inferiore Slot Collo,Collo,50 mo,"0,5 kg",Avventure Occulte
-,Talismano Minore del Coraggio del Combattente,Oggetto Minore Inferiore Slot Collo,Collo,450 mo,"0,5 kg",Avventure Occulte
-,Talismano Minore delle Evocazioni Sigillate,Oggetto Minore Inferiore Slot Collo,Collo,450 mo,"0,5 kg",Avventure Occulte
-,Talismano Superiore dei Venti Benefici,Oggetto Minore Inferiore Slot Collo,Collo,500 mo,"0,5 kg",Avventure Occulte
-,Talismano Minore della Percezione del Pericolo,Oggetto Minore Inferiore Slot Collo,Collo,750 mo,"0,5 kg",Avventure Occulte
01-10,Mano del Mago,Oggetto Minore Inferiore Slot Collo,Collo,900 mo,1 kg,Manuale di Gioco
11-18,Emblema del Recupero,Oggetto Minore Inferiore Slot Collo,Collo,900 mo,-,Guida all'Equipaggiamento
-,Talismano Minore della LibertÃ,Oggetto Minore Inferiore Slot Collo,Collo,900 mo,"0,5 kg",Avventure Occulte
-,Collare Crudele,Oggetto Minore Inferiore Slot Collo,Collo,1.000 mo,1 kg,Guida alle Classi
-,Talismano Minore della Protezione dalle Fiamme,Oggetto Minore Inferiore Slot Collo,Collo,1.250 mo,"0,5 kg",Avventure Occulte
19-25,Amuleto di Protezione dai Proiettili +1,Oggetto Minore Inferiore Slot Collo,Collo,1.500 mo,-,Guida al Combattimento
26-37,Fermaglio dello Scudo,Oggetto Minore Inferiore Slot Collo,Collo,1.500 mo,-,Manuale di Gioco
38-49,Collana delle Palle di Fuoco (Tipo I),Oggetto Minore Inferiore Slot Collo,Collo,1.650 mo,"0,5 kg",Manuale di Gioco
-,Talismano Minore della Buona Fortuna,Oggetto Minore Inferiore Slot Collo,Collo,1.680 mo,"0,5 kg",Avventure Occulte
50-63,Amuleto dell'Armatura Naturale +1,Oggetto Minore Inferiore Slot Collo,Collo,2.000 mo,-,Manuale di Gioco
-,Fermaglio del Mimetismo,Oggetto Minore Inferiore Slot Collo,Collo,2.000 mo,-,Guida alle Razze
-,Talismano Minore del Potere di Guarigione,Oggetto Minore Inferiore Slot Collo,Collo,2.400 mo,"0,5 kg",Avventure Occulte
64-72,Scarabeo dell'Anatema dei Golem,Oggetto Minore Inferiore Slot Collo,Collo,2.500 mo,-,Manuale di Gioco
73-82,Collana delle Palle di Fuoco (Tipo II),Oggetto Minore Inferiore Slot Collo,Collo,2.700 mo,"0,5 kg",Manuale di Gioco
83-89,Fermaglio dell'Anatema degli Sciami,Oggetto Minore Inferiore Slot Collo,Collo,3.000 mo,"0,25 kg",Guida all'Equipaggiamento
90-95,Medaglione Sentinella Mentale,Oggetto Minore Inferiore Slot Collo,Collo,3.500 mo,-,Guida all'Equipaggiamento
96-100,Gorgiera del Guitto,Oggetto Minore Inferiore Slot Collo,Collo,3.500 mo,-,Guida all'Equipaggiamento
-,Talismano Minore del Soffio di Vita,Oggetto Minore Inferiore Slot Collo,Collo,3.500 mo,"0,5 kg",Avventure Occulte
01-08,Amuleto del Conflitto Elementale,Oggetto Minore Superiore Slot Collo,Collo,4.000 mo,"0,5 kg",Guida all'Equipaggiamento
09-15,Amuleto del Pugno del Giusto,Oggetto Minore Superiore Slot Collo,Collo,4.000 mo,"0,25 kg",Guida all'Equipaggiamento
16-26,Amuleto dei Pugni Potenti +1,Oggetto Minore Superiore Slot Collo,Collo,4.000 mo,-,Manuale di Gioco
27-36,Collana delle Palle di Fuoco (Tipo III),Oggetto Minore Superiore Slot Collo,Collo,4.350 mo,"0,5 kg",Manuale di Gioco
-,Talismano Superiore del Coraggio del Combattente,Oggetto Minore Inferiore Slot Collo,Collo,4.500 mo,"0,5 kg",Avventure Occulte
-,Talismano Superiore delle Evocazioni Sigillate,Oggetto Minore Inferiore Slot Collo,Collo,4.500 mo,"0,5 kg",Avventure Occulte
-,Amuleto della Difesa Prodigiosa,Oggetto Minore Superiore Slot Collo,Collo,5.000 mo,-,Guida alle Classi
37-47,Collana delle Palle di Fuoco (Tipo IV),Oggetto Minore Superiore Slot Collo,Collo,5.400 mo,"0,5 kg",Manuale di Gioco
48-55,Richiamatempeste,Oggetto Minore Superiore Slot Collo,Collo,5.400 mo,-,Guida all'Equipaggiamento
56-66,Collana delle Palle di Fuoco (Tipo V),Oggetto Minore Superiore Slot Collo,Collo,5.850 mo,"0,5 kg",Manuale di Gioco
67-73,Amuleto di Protezione dai Proiettili +2,Oggetto Minore Superiore Slot Collo,Collo,6.000 mo,-,Guida al Combattimento
74-81,Collana del Figlio Fatato,Oggetto Minore Superiore Slot Collo,Collo,6.000 mo,"0,25 kg",Guida all'Equipaggiamento
-,Talismano Superiore della Protezione delle Frecce,Oggetto Minore Inferiore Slot Collo,Collo,6.000 mo,"0,5 kg",Avventure Occulte
-,Torque della Canzone Primeva,Oggetto Minore Superiore Slot Collo,Collo,6.000 mo,2 kg,Guida alle Classi
82-89,Catena della Detenzione,Oggetto Minore Superiore Slot Collo,Collo,7.200 mo,-,Guida all'Equipaggiamento
90-100,Talismano della Salute,Oggetto Minore Superiore Slot Collo,Collo,7.400 mo,-,Manuale di Gioco
-,Talismano Superiore della Percezione del Pericolo,Oggetto Minore Inferiore Slot Collo,Collo,7.500 mo,"0,5 kg",Avventure Occulte
01-08,Amuleto dell'Armatura Naturale +2,Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,-,Manuale di Gioco
09-12,Amuleto Anti-pietrificazione,Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,-,Guida all'Equipaggiamento
13-15,Amuleto Semprevigile,Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,"0,5 kg",Guida all'Equipaggiamento
16-18,Pendente del Guardiano delle Tombe,Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,"0,5 kg",Guida all'Equipaggiamento
